correct,incorrect
contented,contenpted
contented,contende
contented,contended
contented,contentid
beginning,begining
problem,problam
problem,proble
problem,promblem
problem,proplen
driven,dirven
ecstasy,exstacy
ecstasy,ecstacy
juice,guic
juice,juce
juice,jucie
juice,juise
juice,juse
locally,localy
compare,compair
pronunciation,pronounciation
transportability,transportibility
minuscule,miniscule
independent,independant
independent,independant
arranged,aranged
arranged,arrainged
poetry,poartry
poetry,poertry
poetry,poetre
poetry,poety
poetry,powetry
level,leval
basically,basicaly
triangular,triangulaur
unexpected,unexpcted
unexpected,unexpeted
unexpected,unexspected
standardizing,stanerdizing
variable,varable
further,futher
monitoring,monitering
biscuits,biscits
biscuits,biscutes
biscuits,biscuts
biscuits,bisquits
biscuits,buiscits
biscuits,buiscuts
available,avaible
separate,seperate
necessary,neccesary
necessary,necesary
necessary,neccesary
necessary,necassary
necessary,necassery
necessary,neccasary
definition,defenition
receipt,receit
receipt,receite
receipt,reciet
receipt,recipt
remind,remine
remind,remined
initials,inetials
initials,inistals
initials,initails
initials,initals
initials,intials
magnificent,magnificnet
magnificent,magificent
magnificent,magnifcent
magnificent,magnifecent
magnificent,magnifiscant
magnificent,magnifisent
magnificent,magnificant
aunt,annt
aunt,anut
aunt,arnt
initial,intial
there,ther
experiences,experances
built,biult
totally,totaly
understand,undersand
understand,undistand
southern,southen
definitely,definately
definitely,difinately
visited,fisited
visited,viseted
visited,vistid
visited,vistied
voluntary,volantry
meant,ment
receive,recieve
sources,sorces
whether,wether
useful,usefull
literature,litriture
valuable,valubale
valuable,valuble
desiccate,desicate
desiccate,dessicate
desiccate,dessiccate
clerical,clearical
splendid,spledid
splendid,splended
splendid,splened
splendid,splended
between,beetween
completely,completly
account,acount
cemetery,cemetary
cemetery,semetary
special,speaical
special,specail
special,specal
special,speical
latest,lates
latest,latets
latest,latiest
latest,latist
perhaps,perhapse
remember,rember
remember,remeber
remember,rememmer
remember,rermember
chapter,chaper
chapter,chaphter
chapter,chaptur
cake,cak
various,vairious
february,febuary
pretend,pertend
pretend,protend
pretend,prtend
pretend,pritend
choosing,chosing
wrote,rote
wrote,wote
particular,particulaur
awful,awfall
awful,afful
arrangement,arragment
challenges,chalenges
challenges,chalenges
laugh,lagh
laugh,lauf
laugh,laught
laugh,lugh
often,ofen
often,offen
often,offten
often,ofton
someone,somone
personnel,personnell
unique,uneque
diagrammatically,diagrammaticaally
description,discription
poems,poims
poems,pomes
purple,perple
purple,perpul
purple,poarple
decide,descide
articles,articals
position,possition
extended,extented
hierarchal,hierachial
really,realy
really,relley
really,relly
voting,voteing
committee,comittee
wanted,wantid
wanted,wonted
benefits,benifits
definitions,defenitions
scissors,scisors
scissors,sissors
levels,levals
parallel,paralel
parallel,paralell
parallel,parrallel
parallel,parralell
parallel,parrallell
accommodation,accomodation
accommodation,acommodation
accommodation,acomodation
planned,planed
hierarchy,hierchy
transferred,transfred
minutes,muinets
arrangeing,aranging
accessing,accesing
stomach,stomac
stomach,stomache
stomach,stomec
stomach,stumache
unfortunately,unfortunatly
considerable,conciderable
access,acess
singular,singulaur
scarcely,scarcly
scarcely,scarecly
scarcely,scarely
scarcely,scarsely
questionnaire,questionaire
experience,experance
experience,experiance
possible,possable
refreshment,reafreshment
refreshment,refreshmant
refreshment,refresment
refreshment,refressmunt
embarrass,embaras
embarrass,embarass
visitors,vistors
auxiliary,auxillary
decided,descided
benefit,benifit
consider,concider
fails,failes
career,carrer
occurrence,occurence
occurrence,occurence
certain,cirtain
poem,poame
lieu,liew
establishing,astablishing
establishing,establising
different,diffrent
loans,lones
extremely,extreamly
addressable,addresable
gallery,galery
gallery,gallary
gallery,gallerry
gallery,gallrey
centrally,centraly
families,familes
bicycle,bicycal
bicycle,bycicle
bicycle,bycycle
choice,choise
opposite,opisite
opposite,oppasite
opposite,oppesite
opposite,oppisit
opposite,oppisite
opposite,opposit
opposite,oppossite
opposite,oppossitte
curtains,cartains
curtains,certans
curtains,courtens
curtains,cuaritains
curtains,curtans
curtains,curtians
curtains,curtions
address,adress
address,adres
liaison,liaision
liaison,liason
management,managment
inconvenient,inconvienient
inconvenient,inconvient
inconvenient,inconvinient
variant,vairiant
supersede,supercede
supersede,superceed
appeal,apeal
employees,emploies
encourage,encorage
permanent,perminant
mathematically,mathematicaly
data,dsata
permanently,perminantly
hierarchal,hierachial
proviso,provisoe
moving,moveing
allow,alow
credit,creadit
available,availble
traditionally,traditionaly
adaptable,adabtable
later,latter
graphically,graphicaly
eventually,eventully
doubt,doupt
academically,academicly
subsequent,subsequant
subsequent,subsiquent
misleading,missleading
ordinary,ordenary
associated,assosiated
voluntary,volantary
enormously,enomosly
table,tasble
useful,usful
thermawear,thermawere
thermawear,thermawhere
pleasant,plesent
between,beeteen
appreciation,apreciation
accept,acept
suffering,suufering
comparison,comparrison
majority,majorty
umbrella,umberalla
discipline,disiplin
arrangement,arrangment
prepared,prepaired
sufficient,suficient
weighted,wagted
orientated,orentated
input,inut
pivoting,pivting
profit,proffit
agencies,agences
accumulated,acumulated
manually,manualy
representative,representitive
employed,emploied
continued,contuned
dragged,draged
unresolved,unresloved
compared,comppared
compared,compased
now,noe
announcing,anouncing
unequalled,unequaled
currently,curruntly
titles,tittles
reaching,reching
approached,aproached
suggestion,sugestion
availability,avaiblity
dissension,desention
cancellation,cancelation
transactions,trasactions
believe,belive
operations,operatins
resulting,reulting
decides,descides
unequivocally,unequivocaly
minutes,muinutes
minutes,muiuets
understandable,understadable
dependence,dependance
supposedly,supposidly
subtract,subtrcat
sheets,sheertes
consist,consisit
immediately,imidatly
immediately,imediatly
exponentially,exponentualy
overall,overal
indeed,indead
separated,seperated
length,lengh
families,familys
necessitates,nessisitates
described,discribed
described,describd
primarily,pimarily
suggested,sugested
possibilities,possablities
building,biulding
universally,universaly
unnecessarily,unessasarily
beginning,begining
and,anf
comments,coments
the,thw
the,hte
the,thi
declarations,declaratrions
supervision,supervison
questionnaire,questionare
develop,develope
unavailable,unavailble
appointments,apointments
variable,varible
variable,vaiable
repetitive,repetative
equalled,equaled
bonus,bonas
demands,diemands
scrutinized,scrutiniesed
recently,reciently
clerk,cleark
clerk,clerck
adequate,adiquate
feeling,fealing
familiar,familer
accepted,acepted
assessing,accesing
separation,seperation
inquiries,equiries
receiving,recieving
receiving,reciving
procedure,proceduer
conceived,concieved
generated,generataed
flexible,flexable
analysis,analiss
analysis,analsis
analysis,analisis
particularly,particulary
routine,rouint
nature,natior
gaining,ganing
geneva,geniva
interesting,intresting
surroundings,suroundings
surroundings,seroundings
opportunity,oppertunity
opportunity,oppotunity
opportunity,opperttunity
functionally,functionaly
together,togehter
approach,aproach
scheme,scheem
occurred,occureed
profession,preffeson
recommend,recomend
examine,examin
there,thear
readjusted,reajusted
build,biuld
organization,oranisation
organization,oragnisation
university,unversity
utilized,utalised
obtaining,optaning
commercial,comersial
embellishing,embelishing
description,desription
description,descvription
description,desacription
edition,ediion
edition,ediition
forbidden,forbiden
applicable,aplicable
committee,committe
search,serch
necessity,nessesity
simular,similar
luckily,luckeley
econometric,economtric
again,agiin
patterns,pattarns
analysing,aalysing
variety,variatry
widely,widly
arrangements,araingements
challenge,chalange
fourth,forth
accounts,acounts
politics,polatics
decision,descisions
decision,descision
sense,sence
beneficial,benificial
beneficial,benficial
arguing,aurguing
continually,contually
acquaintances,aquantences
extremely,extreemly
excessively,exessively
composed,compossed
seen,seeen
nationally,nationaly
source,sorce
months,monthes
progresses,progressess
were,wer
were,where
brief,brif
matrix,matriiix
visitor,vistor
adequately,adequattly
security,seurity
successive,sucsesive
successive,sucessive
consisting,consisiting
per,pere
commit,comit
except,excxept
conversely,conversly
decisions,deciscions
decisions,descisions
union,unioun
when,whn
shown,hown
will,wil
suited,suted
necessary,necasery
necessary,nessasary
necessary,nessisary
necessary,neccassary
essential,esential
government,goverment
unnecessary,unessessay
disaggregate,disaggreagte
disaggregate,disaggreaget
auguments,aurgument
choices,choises
conference,conferance
proceeding,proceding
profits,proffits
apparent,apparant
ideally,idealy
ability,ablity
responsibilities,responsiblities
are,arte
many,mony
surveying,servaying
provide,provid
within,withing
session,sesion
false,faulse
annual,anual
summarys,sumarys
reference,refereence
reference,refference
employment,empolyment
set,et
particular,paerticulaur
surrounding,serounding
choose,chose
journalism,journaism
annoying,anoying
expense,expence
receive,recieve
however,howeverr
supplementary,suplementary
virtually,vertually
forecast,forcast
hierarchy,heiarky
combine,comibine
requested,rquested
desperately,despratly
appreciated,apreciated
safeguard,safegaurd
shortened,shortend
confirmation,confermation
advantageous,advantageos
these,thees
these,thess
before,befor
progression,progresion
component,componant
numbers,numbuers
adjournment,adjurnment
according,acording
opinion,oppinion
advise,advice
career,carear
resolved,resoved
accessibility,accessability
negligible,negligable
students,studens
favourable,faverable
techniques,tecniques
atmosphere,atmospher
exactly,exsactly
especially,especaily
proportions,proprtions
geographically,goegraphicaly
encompassing,encompasing
stopped,stoped
relevant,relavent
relevant,relevaant
they,thay
applied,upplied
eliminated,elimiated
containing,containg
conditioning,conditining
successful,sucssuful
successful,succesful
queries,quies
aggravating,agravating
erroneous,errounous
weapons,wepons
corporate,corparate
inconceivable,inconcievable
organized,oranised
sensible,sensable
studying,studing
examination,eximination
analyse,analiss
lonely,lonley
interest,intrest
committees,comittees
committees,commitees
explaining,explaning
humour,humor
thoughts,thorts
timing,timeing
difficulty,dificulty
careers,currers
careers,carrers
register,rgister
night,nite
appointment,appoitment
surveys,servays
apologies,appologies
approximately,aproximatly
through,throut
prior,piror
executed,executted
anomalies,anomolies
relatively,relativly
relatively,relitivly
announcement,anouncement
accompanying,acompaning
projects,projeccts
analysed,analised
therefore,therefoe
parameters,perametres
whereas,wheras
their,ther
discretion,discresion
handle,handel
disappointing,dissapoiting
expansion,expanion
personnel,personel
senior,sienior
apologised,appologised
separate,seporate
mean,meen
guidelines,guidlines
busy,buisy
easily,easyly
collate,colate
system,sysem
speaking,speeking
interrogating,interogationg
drastically,drasticaly
difficult,dificult
inefficient,ineffiect
operator,opertor
output,oputput
base,basse
regained,regined
controlled,controled
refered,reffered
irrelevant,irrelavent
although,athough
years,yesars
means,meens
technique,tecnique
neither,niether
required,reequired
correspondence,correspondance
interpretation,interpritation
segment,segemnt
throughout,throuout
qualities,quaties
financially,financialy
intelligence,inteligence
receives,recives
receives,recieves
criticism,citisum
would,whould
investigated,investegated
recommending,recomending
earliest,earlyest
immediate,imediate
